00010	What can I practise here?	Complete the sentences. Choose all possible correct answers.	I {{c1::don't know}} how she stays so fit.	'm not knowing;wasn't knowing;don't know;doesn't know
01370	Unit 6: Present perfect continuous and present perfect	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the present perfect and once in the present perfect continuous.	<B>A</B>: Do you fancy a game of squash this weekend?<br /><B>B</B>: No, thanks. I {{c1::have played}} a couple of times before, but I just can't get the hang of it.	finish;clean;play;put;see;stay
01380	Unit 6: Present perfect continuous and present perfect	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the present perfect and once in the present perfect continuous.	<b>A</b>: Ahmed! Where have you been?<br /><b>B</b>: Sorry. I {{c1::have been playing}} computer games with Karl. I didn't realise it was so late.	finish;clean;play;put;see;stay
01390	Unit 6: Present perfect continuous and present perfect	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the present perfect and once in the present perfect continuous.	I {{c1::have cleaned}} the kitchen floor. What would you like me to do next?	finish;clean;play;put;see;stay
01400	Unit 6: Present perfect continuous and present perfect	Complete the sentences with the verbs from the list. Use the same verb for each pair of sentences, once in the present perfect and once in the present perfect continuous.	I {{c1::have been cleaning}} the car all morning and my hands are filthy.	finish;clean;play;put;see;stay
01410	Unit 6: Present perfect continuous and present perfect	Are the underlined verbs correct? If not, correct them with the present perfect.	The pipe{{c1::'s been leaking}} <u>'s been leaking</u> for a few weeks, so I really should get it fixed.	choiceA;ChoiceB
01420	Unit 6: Present perfect continuous and present perfect	Are the underlined verbs correct? If not, correct them with the present perfect.	Check that students {{c1::have understood}} <u>have been understanding</u> the instructions before they start the exam.	choiceA;ChoiceB
01430	Unit 6: Present perfect continuous and present perfect	Are the underlined verbs correct? If not, correct them with the present perfect.	{{c1::Have the children been using}} <u>Have the children been using</u> the computer? There are fingerprints all over the screen.	choiceA;ChoiceB
01440	Unit 6: Present perfect continuous and present perfect	Are the underlined verbs correct? If not, correct them with the present perfect.	The temperature {{c1::has already fallen}} <u>has already been falling</u> to minus three in London, and it's likely to get even colder as the day goes on.	choiceA;ChoiceB
01450	Unit 6: Present perfect continuous and present perfect	Are the underlined verbs correct? If not, correct them with the present perfect.	I {{c1::have disliked / 've disliked}}<u>'ve been disliking</u> travelling by sea ever since a very rough crossing from England to Sweden.	choiceA;ChoiceB
01460	Unit 6: Present perfect continuous and present perfect	Are the underlined verbs correct? If not, correct them with the present perfect.	Don's in the garden working on the new greenhouse. He{{c1::'s been building}}<u>'s been building</u> it for most of the summer.	choiceA;ChoiceB
01470	Unit 6: Present perfect continuous and present perfect	Are the underlined verbs correct? If not, correct them with the present perfect.	Management {{c1::has been holding}} <u>has been holding</u> talks with union officials to try to resolve the pay dispute.	choiceA;ChoiceB
01480	Unit 6: Present perfect continuous and present perfect	Are the underlined verbs correct? If not, correct them with the present perfect.	The police {{c1::have closed}} <u>have been closing</u> the road because of bad weather three times this winter already.	choiceA;ChoiceB
01490	Unit 6: Present perfect continuous and present perfect	Are the underlined verbs correct? If not, correct them with the present perfect.	You{{c1::'ve been surfing the Net}}<u>'ve been surfing the Net</u> again, haven't you? You've left your notebook on.	choiceA;ChoiceB
01500	Unit 6: Present perfect continuous and present perfect	Are the underlined verbs correct? If not, correct them with the present perfect.	I {{c1::have enjoyed / 've enjoyed}}<u>'ve been enjoying</u> all of his previous books, so I'm looking forward to reading his new one.	choiceA;ChoiceB
01510	Unit 6: Present perfect continuous and present perfect	Are the underlined verbs correct? If not, correct them with the present perfect.	I told you to be careful as you were climbing over the fence. You {{c1::have ripped / 've ripped}}<u>'ve been ripping</u> your trousers.	choiceA;ChoiceB
01520	Unit 6: Present perfect continuous and present perfect	Are the underlined verbs correct? If not, correct them with the present perfect.	I{{c1::'ve been looking}}<u>'ve been looking</u> for a pair of earrings just like these for ages.	choiceA;ChoiceB
01530	Unit 7: Past perfect continuous, past perfect and past continuous	Complete the sentences. Use the past perfect continuous form of a verb from the list. Sometimes you need the negative.	The dog was still by the front door when I got home. It was as if it {{c1::had been sitting}} there all day.	dream;exaggerate;expect;feel;get;listen;look;move;sit;stand;take;wear
01540	Unit 7: Past perfect continuous, past perfect and past continuous	Complete the sentences. Use the past perfect continuous form of a verb from the list. Sometimes you need the negative.	Maria {{c1::hadn't been standing}} at the bus stop long when her uncle drove by and offered to give her a lift.	dream;exaggerate;expect;feel;get;listen;look;move;sit;stand;take;wear
01550	Unit 7: Past perfect continuous, past perfect and past continuous	Complete the sentences. Use the past perfect continuous form of a verb from the list. Sometimes you need the negative.	I would certainly have gone with Pete to Thailand if I {{c1::hadn't been taking}} my final exams soon.	dream;exaggerate;expect;feel;get;listen;look;move;sit;stand;take;wear
01560	Unit 7: Past perfect continuous, past perfect and past continuous	Complete the sentences. Use the past perfect continuous form of a verb from the list. Sometimes you need the negative.	I was shocked when I heard that Kate and Jan were splitting up. I thought they {{c1::had been getting / 'd been getting}} on a lot better recently.	dream;exaggerate;expect;feel;get;listen;look;move;sit;stand;take;wear
01570	Unit 7: Past perfect continuous, past perfect and past continuous	Complete the sentences. Use the past perfect continuous form of a verb from the list. Sometimes you need the negative.	I {{c1::had been looking / 'd been looking}} forward to the party all week, so I was very disappointed when it was cancelled.	dream;exaggerate;expect;feel;get;listen;look;move;sit;stand;take;wear
01580	Unit 7: Past perfect continuous, past perfect and past continuous	Complete the sentences. Use the past perfect continuous form of a verb from the list. Sometimes you need the negative.	As Carol showed me around the village, I found that she {{c1::hadn't been exaggerating}} about what a wonderful place it was. It was indeed beautiful.	dream;exaggerate;expect;feel;get;listen;look;move;sit;stand;take;wear
